parent_email,student_id,student_idx,relationship,edge_case
parent036@pilot100.orbit.app,b1000000-0000-4000-8000-000000000039,39,guardian,single_child
parent037@pilot100.orbit.app,b1000000-0000-4000-8000-000000000040,40,mother,chronic_absent
parent038@pilot100.orbit.app,b1000000-0000-4000-8000-000000000041,41,guardian,perfect_attendance
parent039@pilot100.orbit.app,b1000000-0000-4000-8000-000000000042,42,father,single_child
parent040@pilot100.orbit.app,b1000000-0000-4000-8000-000000000043,43,guardian,single_child
parent041@pilot100.orbit.app,b1000000-0000-4000-8000-000000000044,44,guardian,single_child
parent042@pilot100.orbit.app,b1000000-0000-4000-8000-000000000045,45,mother,single_child
parent043@pilot100.orbit.app,b1000000-0000-4000-8000-000000000046,46,guardian,single_child
parent044@pilot100.orbit.app,b1000000-0000-4000-8000-000000000047,47,guardian,single_child
parent045@pilot100.orbit.app,b1000000-0000-4000-8000-000000000048,48,guardian,single_child
parent046@pilot100.orbit.app,b1000000-0000-4000-8000-000000000049,49,father,single_child
parent047@pilot100.orbit.app,b1000000-0000-4000-8000-000000000051,51,guardian,student_login_only
parent048@pilot100.orbit.app,b1000000-0000-4000-8000-000000000052,52,guardian,single_child
parent049@pilot100.orbit.app,b1000000-0000-4000-8000-000000000053,53,guardian,single_child
parent050@pilot100.orbit.app,b1000000-0000-4000-8000-000000000054,54,guardian,single_child
parent051@pilot100.orbit.app,b1000000-0000-4000-8000-000000000055,55,mother,duplicate_common_name_b
parent052@pilot100.orbit.app,b1000000-0000-4000-8000-000000000056,56,father,single_child
parent053@pilot100.orbit.app,b1000000-0000-4000-8000-000000000057,57,guardian,single_child
parent054@pilot100.orbit.app,b1000000-0000-4000-8000-000000000058,58,guardian,single_child
parent055@pilot100.orbit.app,b1000000-0000-4000-8000-000000000059,59,guardian,single_child
parent056@pilot100.orbit.app,b1000000-0000-4000-8000-000000000060,60,mother,parent_no_student_login
parent057@pilot100.orbit.app,b1000000-0000-4000-8000-000000000061,61,guardian,single_child
parent058@pilot100.orbit.app,b1000000-0000-4000-8000-000000000062,62,guardian,single_child
parent059@pilot100.orbit.app,b1000000-0000-4000-8000-000000000063,63,father,single_child
parent060@pilot100.orbit.app,b1000000-0000-4000-8000-000000000064,64,guardian,single_child
parent061@pilot100.orbit.app,b1000000-0000-4000-8000-000000000065,65,mother,single_child
parent062@pilot100.orbit.app,b1000000-0000-4000-8000-000000000066,66,guardian,single_child
parent063@pilot100.orbit.app,b1000000-0000-4000-8000-000000000067,67,guardian,single_child
parent064@pilot100.orbit.app,b1000000-0000-4000-8000-000000000068,68,guardian,single_child
parent065@pilot100.orbit.app,b1000000-0000-4000-8000-000000000069,69,guardian,single_child
parent066@pilot100.orbit.app,b1000000-0000-4000-8000-000000000070,70,father,telugu_script_name
parent067@pilot100.orbit.app,b1000000-0000-4000-8000-000000000071,71,guardian,hindi_script_name
parent068@pilot100.orbit.app,b1000000-0000-4000-8000-000000000072,72,guardian,single_child
parent069@pilot100.orbit.app,b1000000-0000-4000-8000-000000000073,73,guardian,single_child
parent070@pilot100.orbit.app,b1000000-0000-4000-8000-000000000074,74,guardian,single_child
parent071@pilot100.orbit.app,b1000000-0000-4000-8000-000000000075,75,mother,single_child
parent072@pilot100.orbit.app,b1000000-0000-4000-8000-000000000076,76,guardian,single_child
parent073@pilot100.orbit.app,b1000000-0000-4000-8000-000000000077,77,father,single_child
parent074@pilot100.orbit.app,b1000000-0000-4000-8000-000000000078,78,guardian,single_child
parent075@pilot100.orbit.app,b1000000-0000-4000-8000-000000000079,79,guardian,single_child
parent076@pilot100.orbit.app,b1000000-0000-4000-8000-000000000080,80,mother,transport_fee_only
parent077@pilot100.orbit.app,b1000000-0000-4000-8000-000000000081,81,guardian,single_child
parent078@pilot100.orbit.app,b1000000-0000-4000-8000-000000000082,82,guardian,single_child
parent079@pilot100.orbit.app,b1000000-0000-4000-8000-000000000083,83,guardian,single_child
parent080@pilot100.orbit.app,b1000000-0000-4000-8000-000000000084,84,father,single_child
parent081@pilot100.orbit.app,b1000000-0000-4000-8000-000000000085,85,mother,single_child
parent082@pilot100.orbit.app,b1000000-0000-4000-8000-000000000086,86,guardian,single_child
parent083@pilot100.orbit.app,b1000000-0000-4000-8000-000000000087,87,guardian,single_child
parent084@pilot100.orbit.app,b1000000-0000-4000-8000-000000000088,88,guardian,single_child
parent085@pilot100.orbit.app,b1000000-0000-4000-8000-000000000089,89,guardian,single_child
parent086@pilot100.orbit.app,b1000000-0000-4000-8000-000000000090,90,mother,class_outside_main_policy
parent087@pilot100.orbit.app,b1000000-0000-4000-8000-000000000091,91,father,single_child
parent088@pilot100.orbit.app,b1000000-0000-4000-8000-000000000092,92,guardian,single_child
parent089@pilot100.orbit.app,b1000000-0000-4000-8000-000000000093,93,guardian,single_child
parent090@pilot100.orbit.app,b1000000-0000-4000-8000-000000000094,94,guardian,single_child
parent091@pilot100.orbit.app,b1000000-0000-4000-8000-000000000095,95,mother,single_child
parent092@pilot100.orbit.app,b1000000-0000-4000-8000-000000000096,96,guardian,single_child
parent093@pilot100.orbit.app,b1000000-0000-4000-8000-000000000097,97,guardian,single_child
parent094@pilot100.orbit.app,b1000000-0000-4000-8000-000000000098,98,father,single_child
parent095@pilot100.orbit.app,b1000000-0000-4000-8000-000000000099,99,guardian,single_child
parent096@pilot100.orbit.app,b1000000-0000-4000-8000-000000000100,100,mother,last_roster_row
